pp_no,emotion,trial,muscle,bin,zdiff
pp401,424,trial4,brow,diff_bin3,0.41762869989299056
pp401,424,trial4,brow,diff_bin4,-0.022498659019643652
pp401,424,trial4,brow,diff_bin5,-0.327123697258204
pp401,424,trial4,brow,diff_bin6,-0.03387558016851844
pp401,424,trial4,cheek,diff_bin1,-0.09409846118254936
pp401,424,trial4,cheek,diff_bin2,-0.3312346259660936
pp401,424,trial4,cheek,diff_bin3,0.19975146275532055
pp401,424,trial4,cheek,diff_bin4,-0.37394085065663524
pp401,424,trial4,cheek,diff_bin5,-0.22397310368934711
pp401,424,trial4,cheek,diff_bin6,-0.13921746692905373
pp401,424,trial5,brow,diff_bin1,-0.03738435024247022
pp401,424,trial5,brow,diff_bin2,0.3600636054070022
pp401,424,trial5,brow,diff_bin3,-0.040531610672439544
pp401,424,trial5,brow,diff_bin4,0.49962759325759015
pp401,424,trial5,brow,diff_bin5,0.30037198360346695
pp401,424,trial5,brow,diff_bin6,0.18139278018673083
pp401,424,trial5,cheek,diff_bin1,-0.12437886343488258
pp401,424,trial5,cheek,diff_bin2,-0.021674816486065923
pp401,424,trial5,cheek,diff_bin3,0.21788753369264094
pp401,424,trial5,cheek,diff_bin4,0.5988120450723684
pp401,424,trial5,cheek,diff_bin5,0.4284562981821948
pp401,424,trial5,cheek,diff_bin6,0.9559036413548636
pp401,424,trial6,brow,diff_bin1,-0.34898439808258397
pp401,424,trial6,brow,diff_bin2,-0.6380857869030536
pp401,424,trial6,brow,diff_bin3,-0.06864430181040648
pp401,424,trial6,brow,diff_bin4,-0.2563103375839
pp401,424,trial6,brow,diff_bin5,-0.5120252475188871
pp401,424,trial6,brow,diff_bin6,-0.01520467032045858
pp401,424,trial6,cheek,diff_bin1,-0.04672752645047956
pp401,424,trial6,cheek,diff_bin2,-0.15736694220557396
pp401,424,trial6,cheek,diff_bin3,-0.04611092684728907
pp401,424,trial6,cheek,diff_bin4,-0.03671448506823394
pp401,424,trial6,cheek,diff_bin5,-0.08232945136513076
pp401,424,trial6,cheek,diff_bin6,-0.09810635860328754
pp401,424,trial7,brow,diff_bin1,-0.19751185725373466
pp401,424,trial7,brow,diff_bin2,-0.26303016390734746
pp401,424,trial7,brow,diff_bin3,-0.06500794009740163
pp401,424,trial7,brow,diff_bin4,-0.015013282861879418
pp401,424,trial7,brow,diff_bin5,-0.4194575133860804
pp401,424,trial7,brow,diff_bin6,-0.2835086219753219
pp401,424,trial7,cheek,diff_bin1,0.33463932812284114
pp401,424,trial7,cheek,diff_bin2,0.03757236277702082
pp401,424,trial7,cheek,diff_bin3,-0.25252434618490704
pp401,424,trial7,cheek,diff_bin4,0.02034778690528627
pp401,424,trial7,cheek,diff_bin5,-0.2527656242905033
pp401,424,trial7,cheek,diff_bin6,0.008940694246262149
pp401,424,trial8,brow,diff_bin1,-0.6402973753133024
pp401,424,trial8,brow,diff_bin2,-0.43689503738996344
pp401,424,trial8,brow,diff_bin3,-0.6774478075508427
pp401,424,trial8,brow,diff_bin4,-0.8934391871940578
pp401,424,trial8,brow,diff_bin5,-0.9345662255154105
pp401,424,trial8,brow,diff_bin6,-0.4337265116868189
pp401,424,trial8,cheek,diff_bin1,-0.0974629503216975
pp401,424,trial8,cheek,diff_bin2,-0.22630545871011126
pp401,424,trial8,cheek,diff_bin3,-0.04154004718015969
pp401,424,trial8,cheek,diff_bin4,-0.2560496873944527
pp401,424,trial8,cheek,diff_bin5,-0.18803607029470126
pp401,424,trial8,cheek,diff_bin6,-0.20476468561604333
pp401,434,trial1,brow,diff_bin1,-0.13063257311689191
pp401,434,trial1,brow,diff_bin2,-0.12114826128063358
pp401,434,trial1,brow,diff_bin3,-0.0465284177079211
pp401,434,trial1,brow,diff_bin4,-0.21220616101798204
pp401,434,trial1,brow,diff_bin5,0.03313129560737735
pp401,434,trial1,brow,diff_bin6,-0.07047311530349631
pp401,434,trial1,cheek,diff_bin1,0.05956888340388167
pp401,434,trial1,cheek,diff_bin2,-0.05148606686640633
pp401,434,trial1,cheek,diff_bin3,-0.013230082790196052
pp401,434,trial1,cheek,diff_bin4,0.03145998410191497
pp401,434,trial1,cheek,diff_bin5,0.01391370408938547
pp401,434,trial1,cheek,diff_bin6,0.8678773458298206
pp401,434,trial2,brow,diff_bin1,0.042955851814442725
pp401,434,trial2,brow,diff_bin2,0.0887187196880469
pp401,434,trial2,brow,diff_bin3,0.027559794035404817
pp401,434,trial2,brow,diff_bin4,-0.5230406590237788
pp401,434,trial2,brow,diff_bin5,-0.5211905802575134
pp401,434,trial2,brow,diff_bin6,-0.07038805421079464
pp401,434,trial2,cheek,diff_bin1,-0.021835668556463406
pp401,434,trial2,cheek,diff_bin2,0.030682532428327025
pp401,434,trial2,cheek,diff_bin3,0.09309313574256481
pp401,434,trial2,cheek,diff_bin4,0.022291416089256277
pp401,434,trial2,cheek,diff_bin5,-0.04666050475448069
pp401,434,trial2,cheek,diff_bin6,-0.05593630748073769
pp401,434,trial3,brow,diff_bin1,-0.09730989005093549
pp401,434,trial3,brow,diff_bin2,-0.4796807670190021
pp401,434,trial3,brow,diff_bin3,0.5105366783966044
pp401,434,trial3,brow,diff_bin4,0.3648695571446574
pp401,434,trial3,brow,diff_bin5,-0.15051560353595306
pp401,434,trial3,brow,diff_bin6,-0.583561626481157
pp401,434,trial3,cheek,diff_bin1,-0.18830415707869702
